split,video_id,n_windows,n_pos,n_neg,toa,description,min_gap,max_gap,class_pattern
train,1/002,2,1,1,168,a pedestrian crosses the road,8,104,ambas clases
train,1/004,3,1,2,360,a pedestrian crosses the road,8,152,ambas clases
train,1/006,3,1,2,280,a pedestrian crosses the road,8,168,ambas clases
train,1/008,1,1,0,90,a pedestrian crosses the road,10,10,solo positivos
train,1/009,1,1,0,93,a pedestrian crosses the road,13,13,solo positivos
train,1/012,3,1,2,350,ego-car goes straight in the blind spot area,14,158,ambas clases
train,1/015,3,1,2,182,ego-car goes straight in the blind spot area,6,118,ambas clases
train,1/016,2,0,2,0,a pedestrian crosses the road,-192,-64,solo negativos
train,1/017,3,1,2,597,ego-car goes straight in the blind spot area,5,117,ambas clases
train,1/018,2,1,1,165,a pedestrian crosses the road,5,101,ambas clases
train,1/019,2,1,1,96,a pedestrian crosses the road,16,32,ambas clases
train,1/020,3,1,2,384,a pedestrian crosses the road,16,176,ambas clases
train,1/021,2,0,2,0,a pedestrian crosses the road,-128,-64,solo negativos
train,1/022,3,2,1,177,ego-car goes straight in the blind spot area,1,113,ambas clases
train,1/026,2,1,1,105,a pedestrian crosses the road,9,41,ambas clases
train,1/028,3,2,1,145,a pedestrian crosses the road,1,81,ambas clases
train,1/031,2,1,1,171,a pedestrian crosses the road,11,107,ambas clases
train,1/032,4,2,2,194,a pedestrian crosses the road,2,130,ambas clases
train,1/033,4,2,2,244,a pedestrian crosses the road,4,180,ambas clases
train,1/034,2,1,1,110,a pedestrian crosses the road,14,46,ambas clases
train,1/035,2,1,1,138,a pedestrian crosses the road,10,74,ambas clases
train,1/036,3,1,2,320,a pedestrian crosses the road,16,160,ambas clases
train,1/037,2,1,1,158,a pedestrian crosses the road,14,94,ambas clases
train,1/038,2,1,1,133,a pedestrian crosses the road,5,69,ambas clases
train,1/039,2,1,1,108,a pedestrian crosses the road,12,44,ambas clases
train,1/042,2,1,1,155,a pedestrian crosses the road,11,91,ambas clases
train,1/043,2,0,2,0,a pedestrian crosses the road,-320,-128,solo negativos
train,1/044,2,1,1,105,a pedestrian crosses the road,9,41,ambas clases
train,1/045,2,0,2,0,a pedestrian crosses the road,-192,-64,solo negativos
train,1/046,2,1,1,117,a pedestrian crosses the road,5,53,ambas clases
train,1/047,4,2,2,465,a pedestrian crosses the road,1,177,ambas clases
train,1/051,3,2,1,114,a pedestrian crosses the road,2,50,ambas clases
train,1/053,2,1,1,140,a pedestrian crosses the road,12,76,ambas clases
train,10/001,3,1,2,325,a vehicle crosses the road,5,165,ambas clases
train,10/002,4,2,2,244,a vehicle runs red light,4,180,ambas clases
train,10/003,2,1,1,125,ego-car passes through the blind corner of the underground park lot,13,61,ambas clases
train,10/004,2,1,1,170,ego-car turns left across path at non-signalized junctions,10,106,ambas clases
train,10/005,4,2,2,356,ego-car goes straight crossing paths at non-signalized junctions,4,164,ambas clases
train,10/006,3,1,2,268,ego-car turns right across path at non-signalized junctions,12,156,ambas clases
train,10/007,3,1,2,270,ego-car accelerately goes straight at non-signalized junctions,14,174,ambas clases
train,10/009,2,1,1,168,ego-car accelerately goes straight at non-signalized junctions,8,104,ambas clases
train,10/010,3,1,2,393,ego-car accelerately goes straight at non-signalized junctions,9,137,ambas clases
train,10/012,2,1,1,170,ego-car accelerately goes straight at non-signalized junctions,10,106,ambas clases
train,10/013,3,1,2,320,ego-car accelerately goes straight at non-signalized junctions,16,128,ambas clases
train,10/014,3,1,2,389,ego-car turns left across path at non-signalized junctions,5,165,ambas clases
train,10/018,3,1,2,310,a vehicle turns on a road with the opposite direction to ego-car,6,166,ambas clases
train,10/019,3,1,2,478,ego-car turns on a road,14,126,ambas clases
train,10/022,3,1,2,232,a vehicle accelerates out of the underground park lot,8,168,ambas clases
train,10/023,4,2,2,321,ego-car changes lanes,1,145,ambas clases
train,10/025,3,1,2,426,ego-car turns left across path at non-signalized junctions,10,154,ambas clases
train,10/028,3,1,2,249,ego-car goes straight at signalized junctions,9,169,ambas clases
train,10/029,3,1,2,300,a vehicle accelerately goes straight at non-signalized junctions,12,156,ambas clases
train,10/030,4,2,2,450,a vehicle accelerately goes straight at non-signalized junctions,2,130,ambas clases
train,10/031,3,1,2,296,a vehicle goes straight crossing paths at non-signalized junctions,8,168,ambas clases
train,10/032,4,2,2,196,ego-car turns on a road,4,132,ambas clases
train,10/033,4,2,2,274,ego-car goes straight in the blind spot area,2,130,ambas clases
train,10/034,3,1,2,412,ego-car accelerately goes straight at non-signalized junctions,12,172,ambas clases
train,10/035,3,1,2,186,ego-car accelerately goes straight at non-signalized junctions,10,122,ambas clases
train,10/036,4,2,2,306,ego-car passes through the blind corner of the underground park lot,2,146,ambas clases
train,10/037,3,1,2,285,a vehicle changes lanes with the same direction to ego-car,13,141,ambas clases
train,10/038,2,0,2,0,a vehicle is out of control,-320,-128,solo negativos
train,10/039,2,1,1,150,a vehicle runs red light,6,86,ambas clases
train,10/041,3,1,2,363,ego-car turns left across path at non-signalized junctions,11,155,ambas clases
train,10/042,3,1,2,254,ego-car goes straight crossing paths at non-signalized junctions,14,158,ambas clases
train,10/044,3,1,2,374,ego-car turns left across path at non-signalized junctions,6,134,ambas clases
train,10/045,3,1,2,237,a vehicle crosses the road,13,125,ambas clases
