description,n_samples,n_pos,n_neg,auc,ap,acc@0.5,f1@0.5,mean_score
a cyclist changes lines into motorway,9,4,5,1.0,1.0,0.7777777777777778,0.6666666666666666,0.4195149739583333
ego-car  turns right across path at non-signalized junctions,10,4,6,0.8333333333333334,0.8166666666666667,0.8,0.8,0.6310546875
ego-car is out of control,10,4,6,0.7916666666666667,0.8125,0.8,0.6666666666666666,0.45015869140625
ego-car accelerately goes straight at non-signalized junctions,10,4,6,0.7916666666666666,0.7928571428571428,0.7,0.5714285714285714,0.40875244140625
a motorbike crosses the road,103,50,53,0.7864150943396226,0.7645887350180324,0.7281553398058253,0.72,0.5072531098300971
a vehicle backes up into another vehicle,15,5,10,0.78,0.7366666666666666,0.8,0.7272727272727273,0.4658284505208333
ego-car turns left across path at non-signalized junctions,13,5,8,0.75,0.6944444444444444,0.6153846153846154,0.6153846153846154,0.5903883713942307
a motorbike is out of control,31,16,15,0.7375,0.7775279368987305,0.5806451612903226,0.5517241379310345,0.4648161857358871
a vehicle overtakes,30,12,18,0.6898148148148149,0.6754205486542444,0.7,0.5714285714285714,0.4459635416666667
lead vehicle decelerates,8,4,4,0.6875,0.6458333333333333,0.625,0.6666666666666666,0.546722412109375
there is an object crash,9,3,6,0.6666666666666667,0.5,0.6666666666666666,0.4,0.4727376302083333
a cyclist crosses the road,9,4,5,0.65,0.6678571428571429,0.5555555555555556,0.6666666666666666,0.5673014322916666
a vehicle turns left across path at non-signalized junctions,9,4,5,0.65,0.6845238095238095,0.4444444444444444,0.4444444444444444,0.5738796657986112
a cyclist is out of control,15,7,8,0.6428571428571428,0.6555555555555554,0.6,0.5714285714285714,0.4821044921875
a vehicle turns left across path at signalized junctions,18,9,9,0.6234567901234568,0.7233044733044733,0.5555555555555556,0.6,0.5919392903645834
lead vehicle stops,44,19,25,0.6010526315789473,0.5505302500437139,0.5909090909090909,0.5909090909090909,0.5436373623934659
a vehicle changes lanes with the same direction to ego-car/another vehicle,75,32,43,0.576671511627907,0.5534301572078092,0.52,0.3333333333333333,0.4206722005208333
a vehicle crosses the road,50,21,29,0.5681444991789819,0.5333739499080012,0.56,0.47619047619047616,0.4708544921875
a vehicle changes lanes with the same direction to ego-car,22,8,14,0.5625,0.42305057988107525,0.5454545454545454,0.2857142857142857,0.4079201438210227
there is an object crash,8,3,5,0.5333333333333333,0.4444444444444445,0.625,0.5714285714285714,0.488067626953125
a pedestrian crosses the road,39,19,20,0.5052631578947369,0.533740868665966,0.46153846153846156,0.4,0.45989207732371795
a vehicle turns right across path at non-signalized junctions,9,4,5,0.5,0.6111111111111112,0.5555555555555556,0.5,0.4889322916666667
a vehicle is out of control,34,14,20,0.4607142857142857,0.40183512351082007,0.5588235294117647,0.21052631578947367,0.3308572208180147
a motorbike runs red light,9,3,6,0.4444444444444445,0.3888888888888889,0.2222222222222222,0.36363636363636365,0.6954752604166666
a motorbike changes lines into motorway,15,8,7,0.3928571428571429,0.5630952380952381,0.5333333333333333,0.5333333333333333,0.49239908854166664
lead motorcycle stops,8,4,4,0.3125,0.48214285714285715,0.5,0.6666666666666666,0.71002197265625
ego-car turns left across path at non-signalized junctions,13,6,7,0.2857142857142857,0.49169580419580416,0.38461538461538464,0.42857142857142855,0.5849984975961539
